,Job Title,Location,Date,Link,Job Description,Other Job Attributes
1,✔️✔️✔️----REGIONAL CLASS A CDL DRIVER NEED IT----✔️✔️✔️ ,Houston,Feb  9,https://houston.craigslist.org/trp/d/houston-regional-class-cdl-driver-need/7274820403.html,"

QR Code Link to This Post


Class A Driver, 24 Years Of Age Or Older
Clean driving record, - Background check
Ability to pass DOT drug test.
18 Months Verifiable, Recent Tractor-Trailer Experience

We offer the following benefits plan: 


- Mayor medical insurance 
- Dental insurance 
- Vision insurance 
- Life insurance 
- Cash Bonus every 3 months 
- Break down pay
- Pay every Friday direct deposit 
- Base on % of gross
- 10 Days out 4 off 
Up to $85,000.00 a year plus bonuses
- Equipped truck for Driver comfort 
(Refrigerator, microwave, printer, new mattress)
- Passenger program
- Referral -Bonus for referring other Class A Drivers.
- 100% No Touch Freight
- No Hazmat

WE NEED SOLO DRIVERS
!!! FAST AND EASY APPLICATION!!


 
","
compensation: %

employment type: full-time

"
2,Busser Team Member starting at 11.5/hr with experience,"Houston, TX",Feb  8,https://houston.craigslist.org/fbh/d/houston-busser-team-member-starting-at/7274803257.html,"

QR Code Link to This Post


Modern authentic Chinese restaurant with unique concept and exquisite worldly bar in to the Washington District/Heights area in Houston, TX. Having been lucky to survive the Coronavirus period so far, we are dedicated to creating a safe environment for our team and guests. Adherence to safety protocol is required for employment.

Experience in restaurant and hospitality is preferred, but the most important quality is a good attitude and the willingness to learn and work as a team. Every team member has designated roles, but nobody is above service and assistance wherever it is required.

We are currently looking for someone who is flexible to work on the floor and behind the bar as needed. Responsible and committed inquiries only, ideally with the goal of working in a team-oriented environment and growing with us. 

To apply, bring resume to restaurant (Tuesdays through Saturdays from 11AM to 4PM) and ask to speak with Mary.    ","
compensation: To be discussed.

employment type: part-time

"
3,👀👀$$RECESSION PROOF YOUR HEALTH AND WEALTH$$ 👀👀,N/A,Feb  8,https://houston.craigslist.org/sls/d/barker-recession-proof-your-health-and/7274800419.html,"

QR Code Link to This Post


If you could wake up tomorrow with one of your health problems completely gone, What would it be?
Would you love to help others with a product that has zero competition, and do you want financial freedom? This could be exactlywhat you are looking for...

Work from home...help others...and help yourself. Call 678-572-1300 (2 minute recorded msg.) 
**1099 Residual Income    ","
compensation: Commission with residual

employment type: employee's choice

"
4,Hiring CDL(a) Drivers ASAP,"Houston, TX",Feb  8,https://houston.craigslist.org/trp/d/houston-hiring-cdla-drivers-asap/7274799597.html,"

QR Code Link to This Post


We are hiring independent drivers for routes based in and out of Houston, TX. This position is responsible for hauling loads of dry bulk materials to customers safely and efficiently. No experience is necessary, nor do you have to have a truck.

POSITION DETAILS
• Up to $1,500 weekly average
• Monthly KPI Bonus ($50-250)
• 1099 Employee
• Paid every Friday
• Weekly guarantee pay (safety net for the weather, truck breakdowns, customer issues)

________________________________________

REQUIREMENTS
• Must be open to both Local and Regional Routes
• Utilize a sleeper 4-5 nights per week
• Have an active Class A CDL
• Must be at least 21 years old
","
compensation: Get paid up to $1 per mile !!

employment type: contract

"
5,"Earn $100,000+: a real solution to reopening restaurants",N/A,Feb  8,https://houston.craigslist.org/fbh/d/houston-earn-real-solution-to-reopening/7274798689.html,"

QR Code Link to This Post


About:
We are a startup looking to form partnerships with restaurant consultants who can help sign up restaurants for our 100% free service. Our founders are from Airbnb and Google. 

Cheqout is a free contactless mobile ordering and payments solution. It essentially turns every customer’s phone into a personal kiosk that sends orders and payments to restaurants’ POS systems. We provide QR code placards to place on tables or outside restaurants. Customers pull out their phone camera, scan the code, and this opens the restaurant’s menu on our mobile website, where customers can order and pay. Cheqout is not an app, so it works with any phone. 

This means customers no longer have to touch a credit card reader, touch a menu, wait in line, or even wait for a waiter. They just scan the QR code (wherever you place it inside or outside the restaurant) and they can order and pay. 

Cheqout is 100% free for restaurants, and we can set it up at any restaurant in less than an hour.  

Our Referral Program:
We are offering to share profits 50/50 for 12 months for every restaurant you can help us sign up. 

To get started, please Apply Here.

Other questions? Reply to this listing and we will be happy to discuss.
    ","
compensation: 50% profit share for every signed up restaurant

employment type: contract

"
6,Commercial Cleaner BB 1404,Rosenberg,Feb  8,https://houston.craigslist.org/lab/d/richmond-commercial-cleaner-bb-1404/7274796342.html,"

QR Code Link to This Post


Commercial Cleaner
Monday - Sunday 7:30am-10:30am

About Us:
National Janitorial Company needs reliable, dependable and committed people with an energetic attitude and someone who takes pride in their work to join our growing team. If you are a QUALITY Custodian / Commercial Cleaner / Commercial Janitor and want a compelling future as a reward for your best efforts...we want you to be a part of our family. Genesis Janitorial Services, Inc. offers full time and part time positions and we offer various employee benefits such as Holiday Pay, Life Assurance, Bonus Pay, Sick Pay and Vacation Pay. We're looking to hire many Custodian / Commercial Cleaner / Commercial Janitor to join our growing team!

Commercial Cleaner / Commercial Janitor Pay & Perks:

$11/Hour - Pay increases are eligible for review in 90 days if meeting all standards.
Part Time *Must be full time to qualify for some benefits
Fixed flexible schedule
Paid Vacation, Annually
Paid Sick Time
Bonus Wages for working selected Holidays
No Cost Life Insurance for your family.
An incredible chance for you to grow professionally.
Entry Level Cleaners feel free to apply - We provide a full training program!

Commercial Cleaner / Commercial Janitor Duties:

Sweeping
Garbage collection
Running of a vacuum
Restroom care
Other light janitorial cleaning duties may be assigned

We promote from within and have 45 salaried managers who started as janitors. You too can grow with us. Get on board with the finest Janitorial Company in the country and see if you can jump start your career with us. Join our winning team!

If you feel like you'd be a great fit for our Commercial Cleaner / Commercial Janitor position, please apply today!

PHONE CALLS ONLY, NO TEXT MESSAGES    ","
compensation: $11/hourly

employment type: part-time

"
7,Brand Marketing and Sales Rep,Houston,Feb  8,https://houston.craigslist.org/sls/d/houston-brand-marketing-and-sales-rep/7274795936.html,"

QR Code Link to This Post


We have provided Houston with solutions for clean water, air, and energy for the last 20 years. We are now looking for individuals that are team leaders, competitively driven, and self starters. If you have experience in water treatment sales and can succeed with little to no supervision, then this is the job for you.

Qualifications
- +18 years of age (required)
- High school or equivalent (required)
- Driver's license (required)
- Reliable transportation (required)
- 1 year of sales experience (preferred)

Benefits & Pay
- Guaranteed Pay or Commission Packages available
- Monthly bonus opportunities
- Growth opportunities
- Flexible scheduling    ","
compensation: Base Salary starting at $3,000 per month // Commission Level 1 starting at $500-$1,500 per week

employment type: employee's choice

"
8,Drivers for Home appliance INSTALLATION,N/A,Feb  8,https://houston.craigslist.org/trp/d/houston-drivers-for-home-appliance/7274786824.html,"

QR Code Link to This Post


Appliance delivery company looking for TRAVEL TEAMS -Drivers/Helpers for Home appliance INSTALLATION

MUST BE ABLE TO WORK/TRAVEL OUT OF STATE

Must be able to install microwaves, dishwashers, gas ranges, refrigerators, etc.

Must have good driving record(Drivers Only)
Must pass background check and drug screen.
Must be able to complete basic paperwork and interact with customers professionally.
Work 5-6 days a week

Please apply call 443-447-1468    ","
compensation: Commensurate with experience

employment type: contract

"
9,$5000 Sign On Bonus! Let's get back to Making Money in the Oil Field!,Houston,Feb  8,https://houston.craigslist.org/trp/d/beaumont-5000-sign-on-bonus-lets-get/7274780523.html,"

QR Code Link to This Post


M&D Consortium LLC is a Great Company to work for. We care about our drivers!

New Trucks 2020 and 2021 Trucks. West Texas (Odessa) or East Texas (Shreveport)!

Drivers:
East and West - $1500.00 to $2500.00 Plus per week (Real Numbers). 25% to 30% Great Bonuses $5000 sign on Bonus


Driver Information:
*21 days or more on 7 off
*25% to 30% Based on Experience. 
*$200 weekly bonus additional if you do 23 loads per week.
*10 dedicated well sites 
*2-5 loads daily 
*$6,000-$10,000 Gross Weekly - (depends on the Driver)
*Hold 1 Week Pay
*Direct Deposit 
*We provide Housing 


Requirements :
*2 Years of Tractor Trailer Experience-Class A*
*Minimum Age 25*
*No Reckless Driving Charges
*No DUI/DWI
*Clean MVR

Apply Here:
http://www.mydriverfiles.com/md-consortium/apply

Text or Call (888.772.0122) ( We will return your call or text ASAP)
","
compensation: $1500.00 to $2500.00 Plus per week (Real Numbers). 25% to 30% Great Bonuses

employment type: contract

"
10,Bodymen,NWHouston,Feb  8,https://houston.craigslist.org/lab/d/houston-bodymen/7274778631.html,"

QR Code Link to This Post


Experience person only ! Plenty of work for the right persons . Shop is loaded with work and more to come . Must have three plus years experience if just learning please don’t waste our time . Start immediately !    ","
compensation: Pay per vehicle 50 % body labor

employment type: full-time

"
